ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Charge,Rank,Status,Name,Quarks,Latex
1,4.67,0.5,0.2,-1.0,-1.0,-1.0,1/2,5,1,5,1,-1/3,0,0,d,d,d
-1,4.67,0.5,0.2,-1.0,-1.0,-1.0,1/2,5,1,5,1,1/3,0,0,d,D,\overline{d}
2,2.16,0.5,0.3,-1.0,-1.0,-1.0,1/2,5,1,5,1,2/3,0,0,u,u,u
-2,2.16,0.5,0.3,-1.0,-1.0,-1.0,1/2,5,1,5,1,-2/3,0,0,u,U,\overline{u}
3,93.0,11.0,5.0,-1.0,-1.0,-1.0,0,5,1,5,1,-1/3,0,0,s,s,s
-3,93.0,11.0,5.0,-1.0,-1.0,-1.0,0,5,1,5,1,1/3,0,0,s,S,\overline{s}
4,1270.0,20.0,20.0,-1.0,-1.0,-1.0,0,5,1,5,1,2/3,0,0,c,c,c
-4,1270.0,20.0,20.0,-1.0,-1.0,-1.0,0,5,1,5,1,-2/3,0,0,c,C,\overline{c}
5,4180.0,30.0,20.0,-1.0,-1.0,-1.0,0,5,1,5,1,-1/3,0,0,b,b,b
-5,4180.0,30.0,20.0,-1.0,-1.0,-1.0,0,5,1,5,1,1/3,0,0,b,B,\overline{b}
6,172500.0,700.0,700.0,1420.0,190.0,150.0,0,5,1,5,1,2/3,0,0,t,t,t
-6,172500.0,700.0,700.0,1420.0,190.0,150.0,0,5,1,5,1,-2/3,0,0,t,T,\overline{t}
11,0.5109989461,3.1e-09,3.1e-09,0.0,0.0,0.0,0,5,5,5,2,-1,0,0,e,?,e^{-}
-11,0.5109989461,3.1e-09,3.1e-09,0.0,0.0,0.0,0,5,5,5,2,1,0,0,e,?,e^{+}
12,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,5,5,5,1,0,0,1,nu(e),?,\nu_{e}
-12,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,5,5,5,1,0,0,1,nu(e),?,\overline{\nu}_{e}
13,105.6583745,2.4e-06,2.4e-06,2.9959837e-16,3e-22,3e-22,0,5,5,5,2,-1,0,0,mu,?,\mu^{-}
-13,105.6583745,2.4e-06,2.4e-06,2.9959837e-16,3e-22,3e-22,0,5,5,5,2,1,0,0,mu,?,\mu^{+}
14,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,5,5,5,1,0,0,1,nu(mu),?,\nu_{\mu}
-14,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,5,5,5,1,0,0,1,nu(mu),?,\overline{\nu}_{\mu}
15,1776.86,0.12,0.12,2.267e-09,4e-12,4e-12,0,5,5,5,2,-1,0,0,tau,?,\tau^{-}
-15,1776.86,0.12,0.12,2.267e-09,4e-12,4e-12,0,5,5,5,2,1,0,0,tau,?,\tau^{+}
16,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,5,5,5,1,0,0,1,nu(tau),?,\nu_{\tau}
-16,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,5,5,5,1,0,0,1,nu(tau),?,\overline{\nu}_{\tau}
17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,5,5,5,2,-1,0,4,tau',?,\tau^{\prime-}
-17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,5,5,5,2,1,0,4,tau',?,\tau^{\prime+}
18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,5,5,5,1,0,0,4,nu(tau'),?,\nu_{\tau^{\prime}}
-18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,5,5,5,1,0,0,4,nu(tau'),?,\overline{\nu}_{\tau^{\prime}}
